name,tags,url
Egg Biryani,"Biryani,Non-Vegetarian",http://media3.sailusfood.com/wp-content/uploads/2010/04/hyderabadi-egg-biryani.jpg
Chicken Dum Biryani,"Biryani,Non-Vegetarian",https://www.hyderabadbawarchi.net/wp-content/uploads/2017/05/Spl.-Hyderabad-Biryani.jpg
Chicken Biryani Frybit,"Biryani,Non-Vegetarian",https://s3-media3.fl.yelpcdn.com/bphoto/rhOxpra4GqM946cDqGt67g/o.jpg
Chicken Biryani(Boneless),"Biryani,Non-Vegetarian",https://5.imimg.com/data5/NN/NN/GLADMIN-/chicken-boneless-biryani-500x500.jpg
Keema Biryani,"Biryani,Non-Vegetarian",http://www.indobase.com/recipes/rec-images/keema-biryani.jpg
Mutton Biryani,"Biryani,Non-Vegetarian",https://yummyindiankitchen.com/wp-content/uploads/2015/11/how-to-make-mutton-biryani-recipe.jpg
Prawn Biryani,"Biryani,Non-Vegetarian",http://www.fnstatic.co.uk/images/content/recipe/malabar-prawn-biryani.jpg
Chicken Biryani Dum Half,"Biryani,Non-Vegetarian",http://betterbutterbucket.s3-website-ap-southeast-1.amazonaws.com/386x386/sunita-sahu020180406171434555.jpg
Chicken Biryani Dum Fry Bit,"Biryani,Non-Vegetarian",https://upload.wikimedia.org/wikipedia/commons/f/fe/Chicken_Biryani.jpg
Jumbo Biryani Dum,"Biryani,Non-Vegetarian",https://www.bombaypalace-geneva.ch/wp-content/uploads/2017/12/IMG_0459.jpeg
Jumbo Biryani Fry Bit,"Biryani,Non-Vegetarian",https://b.zmtcdn.com/data/pictures/chains/0/10220/2c51af2811bab7fbc4db5b544fb3d49e_featured_v2.jpeg
Mixed Biryani,"Biryani,Non-Vegetarian",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG_H1IJFSsuL01fiGBbaifkOmXrYQcyVjQxx_qhasi2JTs7T_F
Chef's Sepcial Biryani,"Biryani,Non-Vegetarian",http://media2.intoday.in/indiatoday/images/stories/2016May/mos-lucknowi-chicken-biryani-with-raita-2_050416020035.jpg
Mutton Dum Biryani Special,"Biryani,Non-Vegetarian",http://media.oceanofrecipes.com/images/indian/kachi-gosht-dum-biryani/35.JPG
Veg Hot Garlic Sauce,"Starter,Vegetarian",https://2.bp.blogspot.com/-OMyMZI26MIM/Vx3oaUmHuqI/AAAAAAAARqI/JRvWO4SwxLMwJdq8n3rbsGtBX7049wgbQCKgB/s1600/StirFriedVeginHotGarlicSauce_JollyHomemadeRecipes8.jpg
Chilli Chicken,"Starter,Non-Vegetarian",https://yummyindiankitchen.com/wp-content/uploads/2017/04/chilli-chicken-dry-how-to-make-chilli-chicken-e1494749730184.jpg
Chicken Hot Garlic Sauce,"Starter,Non-Vegetarian",http://www.royalcafe.in/wp-content/uploads/2015/01/Chicken-in-Hot-Garlic-Sauce-.jpg
Soft Drink,Drink,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Tumbler_of_cola_with_ice.jpg/220px-Tumbler_of_cola_with_ice.jpg
Packaged Drinking Water,Drink,https://3.imimg.com/data3/TE/KM/MY-10082152/500-ml-packaged-drinking-mineral-water-bottle-250x250.jpg
